Дата,Подія,Опис,Традиції,Як підготуватися
01.01,,,,
02.01,,,,
03.01,,,,
04.01,,,,
05.01,,,,
06.01,,,,
07.01,,,,
08.01,,,,
09.01,,,,
10.01,,,,
11.01,,,,
12.01,,,,
13.01,,,,
14.01,,,,
15.01,,,,
16.01,,,,
17.01,,,,
18.01,,,,
19.01,,,,
20.01,,,,
21.01,Бабин день,"У болгар цей день — не просто вшанування повитухи, а справжнє свято жіночої мудрості, материнства і сили. Бабин день (баба — повитуха, старша жінка роду) — це свято на перехресті народження і роду, де старі руки тримають нове життя. Повитуха тут не лише акушерка, а берегиня зв’язку між світами: тим, де ще нема і тим, де вже є.

Цей день був особливо важливий у селах, де кожна баба-повитуха знала не лише, як прийняти дитину, а й як уберегти матір, родину й дім від злих сил.","— Уранці молоді матері приходили до повитухи з дарами — рушниками, хлібом, вином. Це була форма подяки, визнання і пошани.
— Повитусі мили руки, підносили воду з пахучими травами — символ обмивання після обряду народження.
— Вдень баби самі вирушали в гості — веселились, пили вино, танцювали й співали сороміцькі пісні. Це був єдиний день у році, коли жінки безкарно могли ""випустити пару"".
— Вважалося, що у Бабин день не можна сваритися з жінкою — «бо рід згасне».","Зроби вдома атмосферу вдячності. Якщо є в родині бабуся або жінка, яка допомогла в народженні чи вихованні дитини — подзвони, подякуй. Замість обрядового рушника — щира розмова.

Добре запалити вдома свічку (або ароматичну лампу з ромашкою чи шавлією), згадати про власну мати чи родові жінки. День чудово підходить для жіночих розмов — не обов’язково про дітей, а про підтримку, досвід і силу.

Це гарна нагода зробити щось тепле: спекти пиріг, подарувати подрузі щось зроблене власноруч або просто побути з собою у тиші. День баби — це день вдячності материнству як такому — навіть якщо ти ще не мама."
22.01,,,,
23.01,,,,
24.01,,,,
25.01,,,,
26.01,,,,
27.01,,,,
28.01,,,,
29.01,,,,
