Дата,Подія,Опис,Традиції,Як підготуватися
01.01,,"аранно розігрує свою роль. Василя згадували 1 в інші дні року: 13 березня - Василь-крапельник; 4 квітня - - Василь-сонячний; а 24 серпня на честь Василя старалися прибрати стайні, кошари, клуні, стодоли, повітки. У давній Україні рік спочатку починався І березня, з 1348 р.-- І вересня, з 1699 р, -- 1 січня. (Див. МІСЯЦЬ, ЩЕДРИЙ ВЕЧІР, МЕЛАНКА, СПАС, ЩЕДРІВКИ, ВЕЛЕС, НІЧ ВОРОЖІННЯ, ВАСИЛЯ, ПЕРЕХРЕСТЯ, ПЕРЕБЕРІЯ).",,
02.01,ШУЛІКУНИ,"рість віків», кн. 1, с.117. В.Скуратівський, «Русалії», с.466. О.Боряк, «Ткацтво в обрядах...», с.65. Г.Маслова, «Народная одожда...», с.116. А.Гура, «Символика животньгх...», с.217, 279, 648, 649. ШУЛІКУНИ -- сезонні демони, пов'язані з водою і вогнем. З'являються, за народними віруваннями, з води 2 січня і Йдуть назад під воду на Водохрещу. У цей час 602 бігають по вулицях із розпеченим жаром на залізних пательнях або з залізним розпеченим гаком у руках, яким можуть людину «закрючити і спалити», або їздять на ступах або «окалених» печах. Ростом вони з кулачок, інколи трішки більші, можуть мати кінські ноги і гостроверху голову, з рота в них палає вогонь. На Святках товчуться на перехрестях доріг або біля ополонок, зустрічаються також у лісі, дратують п'яних, кружляють з ними і пхають у багно, інколи можуть заманити до річки і втопити. Шулікуни не люблять лінивих прядильниць, можуть залізти в хату і викрасти з неї всі запаси, За повір'ям, шулікунами стають прокляті або загублені матер...",,
03.01,,,,
04.01,,,,
05.01,,,,
06.01,,"Page 503



  СПИРИДОН СОНЦЕВОРОТ  Спас Нерукотворний. Бойківщина, остання чверть ХУ ст. повір'я, що до Спаса яблука «нечисті». Подібно до цього і вода в озерах та ставках в певний період вважається нечистою -- від свята Перуна (Іллі) (20 липня/2 серпня) до Водохрещі (6/19 січня). Тільки після освячення на Другого Спаса яблука стають придатними (преображаються) для споживання. Кусаючи перше освячене яблуко, примовляли: «Думу міцну надумую, думу трудну заклинаю, по Другому Спасу хай збудеться...» Тож традиційно свіжі плоди в народі споживали лише в період від Спаса до Різдва або Водохрещі. Після Водохрещі і освячення всіх водойм, коли вода переймається Святим Духом, свіжі яблука викидали, а натомість сушені заливали «живою» водою. Саме в цю пору, взявши з кожної копи по колосочку, жниці виробляли «Сніп-рай». Вважали, що у ньому Спас любить поспілкуватися з душами покійників. Також при завершенні жнив залишали в кінці ниви пучок незжатих колосків, який називали по-різному: Спасова борода...",,
07.01,,"о Сонця-Богочоловіка. Від 354 р. Католицька Церква називає Їсуса Христа Сонцем правди, Сонцем справедливості. У Православній Церкві прихильниками свята Різдва Христового 25 грудня стали святі Василій Великий, Іоанн Златоуст, Нині Православна Церква відзначає це свято за юліанським календарем, тобто 7 січня. (Див. РОД, СВЯТИЙ ВЕЧІР, МІСЯЦЬ, ЩЕДРИЙ ВЕЧІР, ЛАДА, ДАНА, ВОДОХРЕЩА, ЗОДІАЮ).",,
08.01,,"ні; залізна баба -- дух, який знаходиться у кукурудзі; ожитня баба -- польовий дух; дика баба - істота, яка спокушає молодих чоловіків. Рідше «баба» може означати відьму, знахарку, чарівницю 1 т. ін. На Поліссі «Баби» -- другий поминальний день після Дідів. У болгар Бабин день -- день бабиповитухи (8/21 січня). Баби -- назва сузір'я Плеяд, яке складається із семи зірок. «Баба» в українських пожнивних обрядах означає останній сніп. «Баба» (разом із «Дідом») -- обов'язковий персонаж рядження, а також персонаж або назва різних дитячих ігор. Словник Б.Грінченка подає 27 значень слова «баба». (Див. БАБА-СПОВИТУХА, БАБИНЕ ЛІТО, ЖИВА, ПОКРОВА, КАМ'ЯНІ БАБИ, ДІДІВ ДЕНЬ). Літ.; СУМ за ред. Б.Грінченка, т. Її. С.Килимник, «Український рік...», кн.2, т. ПІ, с.43-45. Б.Успенский, «Филологичоскис разьткания...», с.113, 161. Г.Дьяченко, «Полньй церковнославянский словарь», с.31, 883-884. Брокгауз и Ефрон, «Знциклопедический Словарь», т. 2, кн. 4, с.590. А.Афанасьсв, «Народнье русскиє сказки» 4, 6, 1...",,
09.01,,,,
10.01,,,,
